,Age,SibSp,Parch,Fare,Lower,Middle,Upper,Female,Male,Cherbourg,Queenstown,Southampton,Predicted Label,Actual Label
10,4.0,1,1,16.7,1,0,0,1,0,0,0,1,1,1
12,20.0,0,0,8.05,1,0,0,0,1,0,0,1,0,0
22,15.0,0,0,8.0292,1,0,0,1,0,0,1,0,1,1
27,19.0,3,2,263.0,0,0,1,0,1,0,0,1,0,0
37,21.0,0,0,8.05,1,0,0,0,1,0,0,1,0,0
41,27.0,1,0,21.0,0,1,0,1,0,0,0,1,1,0
50,7.0,4,1,39.6875,1,0,0,0,1,0,0,1,0,0
56,21.0,0,0,10.5,0,1,0,1,0,0,0,1,1,1
57,28.5,0,0,7.2292,1,0,0,0,1,1,0,0,0,0
58,5.0,1,2,27.75,0,1,0,1,0,0,0,1,1,1
63,4.0,3,2,27.9,1,0,0,0,1,0,0,1,0,0
71,16.0,5,2,46.9,1,0,0,1,0,0,0,1,0,0
75,25.0,0,0,7.65,1,0,0,0,1,0,0,1,0,0
78,0.83,0,2,29.0,0,1,0,0,1,0,0,1,1,1
92,46.0,1,0,61.175,0,0,1,0,1,0,0,1,0,0
94,59.0,0,0,7.25,1,0,0,0,1,0,0,1,0,0
104,37.0,2,0,7.925,1,0,0,0,1,0,0,1,0,0
106,21.0,0,0,7.65,1,0,0,1,0,0,0,1,1,1
110,47.0,0,0,52.0,0,0,1,0,1,0,0,1,0,0
112,22.0,0,0,8.05,1,0,0,0,1,0,0,1,0,0
113,20.0,1,0,9.825,1,0,0,1,0,0,0,1,1,0
117,29.0,1,0,21.0,0,1,0,0,1,0,0,1,0,0
120,21.0,2,0,73.5,0,1,0,0,1,0,0,1,0,0
122,32.5,1,0,30.0708,0,1,0,0,1,1,0,0,0,0
125,12.0,1,0,11.2417,1,0,0,0,1,1,0,0,0,1
127,24.0,0,0,7.1417,1,0,0,0,1,0,0,1,0,1
145,19.0,1,1,36.75,0,1,0,0,1,0,0,1,0,0
149,42.0,0,0,13.0,0,1,0,0,1,0,0,1,0,0
153,40.5,0,2,14.5,1,0,0,0,1,0,0,1,0,0
161,40.0,0,0,15.75,0,1,0,1,0,0,0,1,1,1
163,17.0,0,0,8.6625,1,0,0,0,1,0,0,1,0,0
164,1.0,4,1,39.6875,1,0,0,0,1,0,0,1,0,0
174,56.0,0,0,30.6958,0,0,1,0,1,1,0,0,0,0
179,36.0,0,0,0.0,1,0,0,0,1,0,0,1,0,0
